type	study.study_short_name	image_collection_record_id	image_collection_name	image_type_included	image_collection_url	repository_name	collection_access	crdc_id
image_collection	CTDC-STUDY-764090	CTDC-IMAGE-COLLECTION-548848	scientia_et_labor	US	damnant_quod_non_intellegunt	pace_tua	Download	nascentes_morimur_finisque_ab_origine_pendet
image_collection	CTDC-STUDY-764090	CTDC-IMAGE-COLLECTION-845977	scientiae_cedit_mare	PT	id_quod_plerumque_accidit	nanos_gigantum_humeris_insidentes	Cloud	a_bene_placito
image_collection	CTDC-STUDY-764090	CTDC-IMAGE-COLLECTION-820311	nascentes_morimur_finisque_ab_origine_pendet	DX	Macte_animo_Generose_puer_sic_itur_ad_astra	O_Tite_tute_Tati_tibi_tanta_tyranne_tulisti	Unrestricted	scientia_et_labor
image_collection	CTDC-STUDY-764090	CTDC-IMAGE-COLLECTION-186390	pace_tua	CT	scientia_et_sapientia	e_causa_ignota	Unrestricted	id_quod_plerumque_accidit
image_collection	CTDC-STUDY-764090	CTDC-IMAGE-COLLECTION-205926	damnant_quod_non_intellegunt	US	scientiae_et_patriae	scientiae_et_patriae	Unrestricted	Gallia_est_omnis_divisa_in_partes_tres
image_collection	CTDC-STUDY-764090	CTDC-IMAGE-COLLECTION-882560	haec_olim_meminisse_iuvabit	PT	scientia_imperii_decus_et_tutamen	nascentes_morimur_finisque_ab_origine_pendet	Cloud	haec_olim_meminisse_iuvabit
image_collection	CTDC-STUDY-764090	CTDC-IMAGE-COLLECTION-196110	scientia_imperii_decus_et_tutamen	PT	Macte_animo_Generose_puer_sic_itur_ad_astra	scientiae_et_patriae	Unrestricted	id_quod_plerumque_accidit
image_collection	CTDC-STUDY-764090	CTDC-IMAGE-COLLECTION-673490	scientia,_aere_perennius	US	saltus_in_demonstrando	scientia_imperii_decus_et_tutamen	Download	faber_est_suae_quisque_fortunae
image_collection	CTDC-STUDY-764090	CTDC-IMAGE-COLLECTION-100270	salus_in_arduis	NM	scientia,_aere_perennius	Gallia_est_omnis_divisa_in_partes_tres	Unrestricted	barba_crescit_caput_nescit
image_collection	CTDC-STUDY-764090	CTDC-IMAGE-COLLECTION-217148	scientia,_aere_perennius	MR	barba_crescit_caput_nescit	Obedientia_civium_urbis_felicitas	Download	O_Tite_tute_Tati_tibi_tanta_tyranne_tulisti
image_collection	CTDC-STUDY-764090	CTDC-IMAGE-COLLECTION-782409	damnant_quod_non_intellegunt	CT	O_Tite_tute_Tati_tibi_tanta_tyranne_tulisti	O_Tite_tute_Tati_tibi_tanta_tyranne_tulisti	Unrestricted	scientia,_aere_perennius
image_collection	CTDC-STUDY-764090	CTDC-IMAGE-COLLECTION-721301	labor_ipse_voluptas	DX	Obedientia_civium_urbis_felicitas	nanos_gigantum_humeris_insidentes	Cloud	saltus_in_demonstrando
image_collection	CTDC-STUDY-764090	CTDC-IMAGE-COLLECTION-761375	id_quod_plerumque_accidit	NM	salus_in_arduis	sapiens_qui_prospicit	Cloud	a_bene_placito
image_collection	CTDC-STUDY-764090	CTDC-IMAGE-COLLECTION-187838	pace_tua	MR	e_causa_ignota	scientia_et_sapientia	Cloud	a_bene_placito
image_collection	CTDC-STUDY-764090	CTDC-IMAGE-COLLECTION-513412	nascentes_morimur_finisque_ab_origine_pendet	PT	nascentes_morimur_finisque_ab_origine_pendet	cacatum_non_est_pictum	Unrestricted	haec_olim_meminisse_iuvabit
image_collection	CTDC-STUDY-764090	CTDC-IMAGE-COLLECTION-490349	scientia_et_labor	DX	Macte_animo_Generose_puer_sic_itur_ad_astra	scientia,_aere_perennius	Download	saltus_in_demonstrando
image_collection	CTDC-STUDY-764090	CTDC-IMAGE-COLLECTION-294591	haec_olim_meminisse_iuvabit	NM	cacatum_non_est_pictum	scientia_et_sapientia	Download	Obedientia_civium_urbis_felicitas
image_collection	CTDC-STUDY-764090	CTDC-IMAGE-COLLECTION-403509	id_quod_plerumque_accidit	PT	saltus_in_demonstrando	O_Tite_tute_Tati_tibi_tanta_tyranne_tulisti	Download	nascentes_morimur_finisque_ab_origine_pendet
image_collection	CTDC-STUDY-764090	CTDC-IMAGE-COLLECTION-701020	scientia,_aere_perennius	DX	haec_olim_meminisse_iuvabit	O_Tite_tute_Tati_tibi_tanta_tyranne_tulisti	Download	scientia,_aere_perennius
image_collection	CTDC-STUDY-764090	CTDC-IMAGE-COLLECTION-737791	Macte_animo_Generose_puer_sic_itur_ad_astra	CT	nascentes_morimur_finisque_ab_origine_pendet	scientia_et_labor	Cloud	Obedientia_civium_urbis_felicitas
image_collection	CTDC-STUDY-764090	CTDC-IMAGE-COLLECTION-453598	scientiae_et_patriae	PT	id_quod_plerumque_accidit	cacatum_non_est_pictum	Cloud	Obedientia_civium_urbis_felicitas
image_collection	CTDC-STUDY-764090	CTDC-IMAGE-COLLECTION-738686	scientia_imperii_decus_et_tutamen	US	Obedientia_civium_urbis_felicitas	imperium_in_imperio	Unrestricted	scientia_et_labor
image_collection	CTDC-STUDY-764090	CTDC-IMAGE-COLLECTION-645755	nanos_gigantum_humeris_insidentes	MR	id_quod_plerumque_accidit	scientiae_cedit_mare	Unrestricted	labor_ipse_voluptas
image_collection	CTDC-STUDY-764090	CTDC-IMAGE-COLLECTION-298307	O_Tite_tute_Tati_tibi_tanta_tyranne_tulisti	CT	Obedientia_civium_urbis_felicitas	labor_ipse_voluptas	Download	pace_tua
image_collection	CTDC-STUDY-764090	CTDC-IMAGE-COLLECTION-638187	scientia,_aere_perennius	NM	e_causa_ignota	scientia,_aere_perennius	Download	pace_tua
image_collection	CTDC-STUDY-764090	CTDC-IMAGE-COLLECTION-118637	e_causa_ignota	NM	imperium_in_imperio	haec_olim_meminisse_iuvabit	Cloud	scientia_et_labor
image_collection	CTDC-STUDY-764090	CTDC-IMAGE-COLLECTION-563084	Gallia_est_omnis_divisa_in_partes_tres	US	barba_crescit_caput_nescit	Macte_animo_Generose_puer_sic_itur_ad_astra	Cloud	sapiens_qui_prospicit
image_collection	CTDC-STUDY-764090	CTDC-IMAGE-COLLECTION-971407	faber_est_suae_quisque_fortunae	PT	labor_ipse_voluptas	faber_est_suae_quisque_fortunae	Download	O_Tite_tute_Tati_tibi_tanta_tyranne_tulisti
image_collection	CTDC-STUDY-764090	CTDC-IMAGE-COLLECTION-738421	faber_est_suae_quisque_fortunae	CT	e_causa_ignota	scientia_imperii_decus_et_tutamen	Download	pace_tua
image_collection	CTDC-STUDY-764090	CTDC-IMAGE-COLLECTION-784638	salus_in_arduis	MR	scientia_et_labor	scientiae_et_patriae	Unrestricted	nascentes_morimur_finisque_ab_origine_pendet
image_collection	CTDC-STUDY-764090	CTDC-IMAGE-COLLECTION-221472	scientia_imperii_decus_et_tutamen	US	faber_est_suae_quisque_fortunae	nascentes_morimur_finisque_ab_origine_pendet	Download	salus_in_arduis
image_collection	CTDC-STUDY-764090	CTDC-IMAGE-COLLECTION-578355	id_quod_plerumque_accidit	MR	id_quod_plerumque_accidit	salus_in_arduis	Download	barba_crescit_caput_nescit
image_collection	CTDC-STUDY-764090	CTDC-IMAGE-COLLECTION-192770	damnant_quod_non_intellegunt	PT	saltus_in_demonstrando	id_quod_plerumque_accidit	Download	scientia_imperii_decus_et_tutamen
image_collection	CTDC-STUDY-764090	CTDC-IMAGE-COLLECTION-633774	imperium_in_imperio	PT	haec_olim_meminisse_iuvabit	imperium_in_imperio	Unrestricted	scientiae_et_patriae
image_collection	CTDC-STUDY-764090	CTDC-IMAGE-COLLECTION-118087	pace_tua	DX	scientiae_et_patriae	pace_tua	Download	damnant_quod_non_intellegunt
image_collection	CTDC-STUDY-764090	CTDC-IMAGE-COLLECTION-993898	Obedientia_civium_urbis_felicitas	CT	salus_in_arduis	scientia_et_sapientia	Cloud	scientia_imperii_decus_et_tutamen
image_collection	CTDC-STUDY-764090	CTDC-IMAGE-COLLECTION-473267	scientia,_aere_perennius	PT	labor_ipse_voluptas	faber_est_suae_quisque_fortunae	Download	O_Tite_tute_Tati_tibi_tanta_tyranne_tulisti
image_collection	CTDC-STUDY-764090	CTDC-IMAGE-COLLECTION-465070	pace_tua	US	nanos_gigantum_humeris_insidentes	imperium_in_imperio	Download	scientiae_et_patriae
image_collection	CTDC-STUDY-764090	CTDC-IMAGE-COLLECTION-856304	scientia,_aere_perennius	US	salus_in_arduis	salus_in_arduis	Unrestricted	Obedientia_civium_urbis_felicitas
image_collection	CTDC-STUDY-764090	CTDC-IMAGE-COLLECTION-160864	scientiae_cedit_mare	CT	a_bene_placito	Obedientia_civium_urbis_felicitas	Cloud	scientia_et_sapientia
image_collection	CTDC-STUDY-764090	CTDC-IMAGE-COLLECTION-978086	e_causa_ignota	CT	scientiae_et_patriae	scientia_et_labor	Cloud	scientia_imperii_decus_et_tutamen
image_collection	CTDC-STUDY-764090	CTDC-IMAGE-COLLECTION-927921	salus_in_arduis	PT	nanos_gigantum_humeris_insidentes	pace_tua	Download	scientia_imperii_decus_et_tutamen
image_collection	CTDC-STUDY-764090	CTDC-IMAGE-COLLECTION-983352	id_quod_plerumque_accidit	CT	O_Tite_tute_Tati_tibi_tanta_tyranne_tulisti	e_causa_ignota	Download	haec_olim_meminisse_iuvabit
image_collection	CTDC-STUDY-764090	CTDC-IMAGE-COLLECTION-721086	scientia_imperii_decus_et_tutamen	NM	Gallia_est_omnis_divisa_in_partes_tres	id_quod_plerumque_accidit	Cloud	Gallia_est_omnis_divisa_in_partes_tres
image_collection	CTDC-STUDY-764090	CTDC-IMAGE-COLLECTION-520096	saltus_in_demonstrando	PT	scientia,_aere_perennius	Macte_animo_Generose_puer_sic_itur_ad_astra	Download	scientia_et_sapientia
image_collection	CTDC-STUDY-764090	CTDC-IMAGE-COLLECTION-184522	pace_tua	CT	salus_in_arduis	sapiens_qui_prospicit	Download	sapiens_qui_prospicit
image_collection	CTDC-STUDY-764090	CTDC-IMAGE-COLLECTION-878919	sapiens_qui_prospicit	US	sapiens_qui_prospicit	Obedientia_civium_urbis_felicitas	Cloud	scientiae_et_patriae
image_collection	CTDC-STUDY-764090	CTDC-IMAGE-COLLECTION-910979	labor_ipse_voluptas	DX	Gallia_est_omnis_divisa_in_partes_tres	e_causa_ignota	Unrestricted	scientia,_aere_perennius
image_collection	CTDC-STUDY-764090	CTDC-IMAGE-COLLECTION-641028	barba_crescit_caput_nescit	MR	Macte_animo_Generose_puer_sic_itur_ad_astra	e_causa_ignota	Unrestricted	barba_crescit_caput_nescit
image_collection	CTDC-STUDY-764090	CTDC-IMAGE-COLLECTION-240654	e_causa_ignota	DX	imperium_in_imperio	scientia,_aere_perennius	Unrestricted	e_causa_ignota
image_collection	CTDC-STUDY-764090	CTDC-IMAGE-COLLECTION-781149	sapiens_qui_prospicit	US	barba_crescit_caput_nescit	nascentes_morimur_finisque_ab_origine_pendet	Cloud	nanos_gigantum_humeris_insidentes
image_collection	CTDC-STUDY-764090	CTDC-IMAGE-COLLECTION-205464	nascentes_morimur_finisque_ab_origine_pendet	NM	saltus_in_demonstrando	Macte_animo_Generose_puer_sic_itur_ad_astra	Download	salus_in_arduis
image_collection	CTDC-STUDY-764090	CTDC-IMAGE-COLLECTION-430792	Obedientia_civium_urbis_felicitas	CT	a_bene_placito	scientia_imperii_decus_et_tutamen	Unrestricted	scientia_et_sapientia
image_collection	CTDC-STUDY-764090	CTDC-IMAGE-COLLECTION-421311	nascentes_morimur_finisque_ab_origine_pendet	MR	scientia,_aere_perennius	saltus_in_demonstrando	Unrestricted	scientiae_et_patriae
image_collection	CTDC-STUDY-764090	CTDC-IMAGE-COLLECTION-306361	scientia,_aere_perennius	PT	O_Tite_tute_Tati_tibi_tanta_tyranne_tulisti	scientia_et_labor	Download	scientia,_aere_perennius
image_collection	CTDC-STUDY-764090	CTDC-IMAGE-COLLECTION-823695	labor_ipse_voluptas	US	nanos_gigantum_humeris_insidentes	Gallia_est_omnis_divisa_in_partes_tres	Unrestricted	barba_crescit_caput_nescit
image_collection	CTDC-STUDY-764090	CTDC-IMAGE-COLLECTION-815644	damnant_quod_non_intellegunt	CT	id_quod_plerumque_accidit	labor_ipse_voluptas	Unrestricted	scientia_imperii_decus_et_tutamen
